"Symbol","logFC","logCPM","F","PValue","FDR"
"NCOA6",-1.32519505083129,5.70061519136531,65.0063674752637,4.12870400780665e-05,0.00442494479764811
"PHF13",1.37117542584326,5.94040205024698,64.922469686763,4.14796760589935e-05,0.00442494479764811
"MIOS",-1.34861044753588,5.1190812301042,64.04201317034,4.3570663791967e-05,0.00456260856050898
"SRSF5",1.45936522951713,8.47300617960834,63.7493716852191,4.42947160571528e-05,0.00456260856050898
"SPACA6P-AS",3.0013007464215,2.31036569804715,63.3839642126079,4.52200574357239e-05,0.00456260856050898
"CBFA2T2",-2.20089271445957,4.05669705285981,63.3790670349158,4.52326221287619e-05,0.00456260856050898
"TET2",-1.48239290598827,4.74895133190965,63.2336443326997,4.56077307271404e-05,0.00456260856050898
"NME6",-1.61436496018748,4.15737597654865,63.1902946229406,4.57203004102958e-05,0.00456260856050898
"AL079301.1",3.35932966306085,1.76175261131944,62.9803505370829,4.62704208048703e-05,0.00456260856050898
"CXXC5",-2.26999648445864,4.59434304628543,62.9533628623853,4.63417360783883e-05,0.00456260856050898
"GEMIN7",-2.02945522499215,3.13307191426752,62.9458438438273,4.63616296544146e-05,0.00456260856050898
"JCAD",-1.4355664784813,4.15972395033978,62.8843843412109,4.65246382063981e-05,0.00456260856050898
"TSTD2",-1.6739461846529,4.56157332161942,62.8479180272857,4.66216963089192e-05,0.00456260856050898
"NMNAT1",-1.96381739107143,2.09329228678147,62.7404565415175,4.69091899175401e-05,0.00456260856050898
"PAFAH2",-2.13943972876826,2.82300480471859,61.5039468963082,5.03823118978147e-05,0.00486465125389995
"DNAJB12",-1.18700817473229,5.19002566272956,61.342847885162,5.08581672035379e-05,0.00487501330266956
"CRYBG1",-1.96290772372306,2.57241532784468,61.1625172028905,5.13975143731199e-05,0.00489126849012684
"CCDC77",-1.88071036447067,4.11879854258814,60.8492970691611,5.23514281843432e-05,0.00494646208587494
"ATL2",-1.38034004425863,6.02856094163668,60.6665705028838,5.29181546233842e-05,0.00496454857700799
"ANKRD50",-1.33622637648892,4.80574992566483,60.4387559545766,5.36355084441337e-05,0.00498255445040087
"JUNB",4.28289836444759,8.73664601183267,60.3671736992822,5.38634174786305e-05,0.00498255445040087
"TNRC6C",-1.76597480581485,3.18393662234389,60.2307879894753,5.43010140382841e-05,0.00498815148401682
"ANKS1A",-1.71695942469895,4.83504475779027,60.0068786205471,5.50291162050832e-05,0.00502017344248855
"ARHGEF39",-1.77062025317776,4.33667637288495,59.0634869152374,5.82342790347328e-05,0.00524182269969985
"PPARA",-1.38403165710311,4.85115219144618,59.0586571063337,5.82512803791865e-05,0.00524182269969985
"E2F8",-1.98924825968451,3.28267147866047,58.8249517389575,5.90814111993593e-05,0.00526202684714027
"PRKCQ",-2.08479357778127,2.82850323697751,58.7720431501583,5.92713940296266e-05,0.00526202684714027
"C19orf68",-1.87700164197309,2.86443151412112,58.5163150790486,6.02004997690503e-05,0.0052848110247662
"NRBP2",1.39114121448598,4.83054582758096,58.4818601642167,6.0327068698193e-05,0.0052848110247662
"CSTF3",-1.5886202607795,4.77626739833968,58.2305069356597,6.12605455979163e-05,0.00530498614440155
"TOP3A",-1.48058030386762,4.86258944527213,58.1597259045782,6.1526666039872e-05,0.00530498614440155
"ZNF569",-1.80310180094518,3.15323037693878,58.0978479992,6.17604979012578e-05,0.00530498614440155
"ORC2",-1.64346320878531,4.50079133377692,57.8985512612819,6.25212169412518e-05,0.00533568166257341
"AHDC1",-1.76455147619206,4.18759134733706,57.7143393896119,6.32348031989666e-05,0.00535825776923027
"ZKSCAN3",-2.86233950426831,1.59572343898984,57.6221118910343,6.35958927856934e-05,0.00535825776923027
"NFKB2",-1.75630810166053,6.64903764694516,57.4248044762161,6.43770901162961e-05,0.0053897477725213
"PCTP",-1.90274354203836,2.91895154599432,57.2578499782496,6.50475031465558e-05,0.00540499002254442
"TUBD1",-1.92973849144597,4.07104228928675,57.1767401814223,6.53763534628899e-05,0.00540499002254442
"ZNF346",-1.82300426109532,3.39614747266649,56.7869277667549,6.69861235685384e-05,0.00542157120937636
"IER5",3.27956903535494,8.18196041614985,56.7530023261046,6.71285546908777e-05,0.00542157120937636
"SRSF4",-1.23478811146083,5.67443903184776,56.6815300491477,6.74298621852701e-05,0.00542157120937636
"MLH3",-1.45465109448763,3.98047241641097,56.6244609682162,6.76716647622354e-05,0.00542157120937636
"ALG12",-1.54773864071011,3.90755072868607,56.5596609928485,6.79475391987284e-05,0.00542157120937636
"HSPA1B",2.26684981917545,6.4044718128565,56.5189277359506,6.81216738229722e-05,0.00542157120937636
"S100PBP",-1.27997655882164,4.82410617412434,56.4434306180919,6.84459020234239e-05,0.00542157120937636
"CEP350",-1.37726850043085,5.58387202941555,56.3122742215683,6.90137645221152e-05,0.00543401236368179
"SNX27",-1.1690347870081,4.53056168058308,56.2055911449948,6.94800161081256e-05,0.00543835297679459
"RNF34",-1.64029518839843,4.05572284257957,55.7563945354549,7.14869541162164e-05,0.00553172836352792
"NFX1",-1.51900245441826,5.32684564631536,55.7147666665518,7.16765892945448e-05,0.00553172836352792
"ADNP",-1.44096157666462,6.96140889809347,55.6013566028234,7.21964278101232e-05,0.00553172836352792
"ZFHX2",-2.68437075246896,2.88826607000969,55.5146662907658,7.25969728195294e-05,0.00553172836352792
"PSMA1",1.30625699910558,5.37811162035336,55.4413281351351,7.29379970589641e-05,0.00553172836352792
"TNKS2",-1.25906006089259,5.81294965915967,55.2975802675264,7.36122589863318e-05,0.00553172836352792
"LRCH3",-1.3532412550712,4.76574574047203,55.1929346539704,7.4108015550711e-05,0.00553172836352792
"MT1X",1.68431754251556,3.49173565043926,55.014695397213,7.49620706699675e-05,0.00553172836352792
"TOP3B",-1.67441161470025,3.95967092731618,54.9686735682256,7.51845861795799e-05,0.00553172836352792
"ZADH2",-1.20330660643621,4.79329055671313,54.7542318234319,7.62323692672719e-05,0.00553172836352792
"FAM220A",-1.67003637246943,4.50397669840229,54.6954949293773,7.65225438397246e-05,0.00553172836352792
"ZNF638",-1.48024095744589,6.75499781309903,54.50637125481,7.7466292307423e-05,0.00553172836352792
"SPSB2",-1.71780520847959,2.43224707287017,54.1953776174387,7.90500526638995e-05,0.00553172836352792
"MED8",-1.11953703317311,5.07824585292669,54.0741794286237,7.96782156695566e-05,0.00553172836352792
"GRIN2A",-2.07920465869862,1.34289829778081,54.0351614410835,7.98817707652194e-05,0.00553172836352792
"SP1",-1.14837097318736,6.40906530130128,53.9764325006408,8.01893845290224e-05,0.00553172836352792
"C3orf58",2.42809016005247,5.74926141837898,53.8842995060223,8.06749545885597e-05,0.00553172836352792
"KNOP1",-1.13771560825593,5.10468863151828,53.8818507866775,8.06879101989512e-05,0.00553172836352792
"SIX4",-1.40189036115876,5.36924891461837,53.8379008638691,8.09208821083497e-05,0.00553172836352792
"ZBTB5",-1.5257546677428,5.57220114289024,53.8286783703933,8.09698758764367e-05,0.00553172836352792
"PLEKHF1",-3.33816403573201,1.80076931949064,53.7787247346431,8.12358961296002e-05,0.00553172836352792
"YEATS2",-1.13617429432221,5.98524813957761,53.7575235897748,8.13491297945065e-05,0.00553172836352792
"MIS18BP1",-1.17884648303388,6.53568300964212,53.7456651944914,8.14125506291638e-05,0.00553172836352792
"RNF217",-1.5073070635102,4.60628063709578,53.7179059119081,8.15612542021076e-05,0.00553172836352792
"SETD5",-1.18808414775595,7.04898082746216,53.5448226964408,8.24961438203988e-05,0.00553172836352792
"KLF10",1.78504122480282,7.52201122158336,53.5124255890164,8.26726192668991e-05,0.00553172836352792
"SYNRG",-1.23492013022308,5.38301762726433,53.471416869392,8.28966818906197e-05,0.00553172836352792
"TAOK1",-1.28485365105146,6.76189812450098,53.4632459749507,8.29414165427078e-05,0.00553172836352792
